"id","date","price","bedrooms","bathrooms","sqft_living","","floors","","view","condition","grade","sqft_above","sqft_basement","yr_built","","zipcode","sqft_living15"
"7129300520","20141013","221900","3","1","1180","","1","","0","3","7","1180","0","1955","","98178","1340"
"6414100192","20141209","538000","3","2.25","2570","","2","","0","3","7","2170","400","1951","","98125","1690"
"5631500400","20150225","180000","2","1","770","","1","","0","3","6","770","0","1933","","98028","2720"
"2487200875","20141209","604000","4","3","1960","","1","","0","5","7","1050","910","1965","","98136","1360"
"1954400510","20150218","510000","3","2","1680","","1","","0","3","8","1680","0","1987","","98074","1800"
"7237550310","20140512","1.22E+6","4","4.5","5420","","1","","0","3","11","3890","1530","2001","","98053","4760"
"1321400060","20140627","257500","3","2.25","1715","","2","","0","3","7","1715","0","1995","","98003","2238"
"2008000270","20150115","291850","3","1.5","1060","","1","","0","3","7","1060","0","1963","","98198","1650"
"2414600126","20150415","229500","3","1","1780","","1","","0","3","7","1050","730","1960","","98146","1780"
"3793500160","20150312","323000","3","2.5","1890","","2","","0","3","7","1890","0","2003","","98038","2390"
"1736800520","20150403","662500","3","2.5","3560","","1","","0","3","8","1860","1700","1965","","98007","2210"
"9212900260","20140527","468000","2","1","1160","","1","","0","4","7","860","300","1942","","98115","1330"
"114101516","20140528","310000","3","1","1430","","1.5","","0","4","7","1430","0","1927","","98028","1780"
"6054650070","20141007","400000","3","1.75","1370","","1","","0","4","7","1370","0","1977","","98074","1370"
"1175000570","20150312","530000","5","2","1810","","1.5","","0","3","7","1810","0","1900","","98107","1360"
"9297300055","20150124","650000","4","3","2950","","2","","3","3","9","1980","970","1979","","98126","2140"
"1875500060","20140731","395000","3","2","1890","","2","","0","3","7","1890","0","1994","","98019","1890"
"6865200140","20140529","485000","4","1","1600","","1.5","","0","4","7","1600","0","1916","","98103","1610"
"16000397","20141205","189000","2","1","1200","","1","","0","4","7","1200","0","1921","","98002","1060"
"7983200060","20150424","230000","3","1","1250","","1","","0","4","7","1250","0","1969","","98003","1280"
"6300500875","20140514","385000","4","1.75","1620","","1","","0","4","7","860","760","1947","","98133","1400"
"2524049179","20140826","2.00E+6","3","2.75","3050","","1","","4","3","9","2330","720","1968","","98040","4110"
"7137970340","20140703","285000","5","2.5","2270","","2","","0","3","8","2270","0","1995","","98092","2240"
"8091400200","20140516","252700","2","1.5","1070","","1","","0","3","7","1070","0","1985","","98030","1220"
"3814700200","20141120","329000","3","2.25","2450","","2","","0","4","8","2450","0","1985","","98030","2200"
"1202000200","20141103","233000","3","2","1710","","1.5","","0","5","6","1710","0","1941","","98002","1030"
"1794500383","20140626","937000","3","1.75","2450","","2","","0","3","8","1750","700","1915","","98119","1760"
"3303700376","20141201","667000","3","1","1400","","1.5","","0","5","8","1400","0","1909","","98112","1860"
"5101402488","20140624","438000","3","1.75","1520","","1","","0","3","7","790","730","1948","","98115","1520"
"1873100390","20150302","719000","4","2.5","2570","","2","","0","3","8","2570","0","2005","","98052","2630"
"8562750320","20141110","580500","3","2.5","2320","","2","","0","3","8","2320","0","2003","","98027","2580"
"2426039314","20141201","280000","2","1.5","1190","","3","","0","3","7","1190","0","2005","","98133","1390"
"461000390","20140624","687500","4","1.75","2330","","1.5","","0","4","7","1510","820","1929","","98117","1460"
"7589200193","20141110","535000","3","1","1090","","1.5","","0","4","8","1090","0","1929","","98117","1570"
"7955080270","20141203","322500","4","2.75","2060","","1","","0","3","7","1280","780","1981","","98058","2020"
"9547205180","20140613","696000","3","2.5","2300","","1.5","","0","3","8","1510","790","1930","","98115","1590"
"9435300030","20140528","550000","4","1","1660","","1","","0","1","5","930","730","1933","","98052","2160"
"2768000400","20141230","640000","4","2","2360","","2","","0","4","8","2360","0","1904","","98107","1730"
"7895500070","20150213","240000","4","1","1220","","1","","0","2","7","890","330","1969","","98001","1290"
"2078500320","20140620","605000","4","2.5","2620","","2","","0","3","8","2620","0","1996","","98056","2620"
"5547700270","20140715","625000","4","2.5","2570","","2","","0","3","9","2570","0","2000","","98074","2470"
"7766200013","20140811","775000","4","2.25","4220","","1","","0","3","8","2600","1620","1984","","98166","2410"
"7203220400","20140707","861990","5","2.75","3595","","2","","0","3","9","3595","0","2014","","98053","3625"
"9270200160","20141028","685000","3","1","1570","","2","","0","3","7","1570","0","1922","","98119","1580"
"1432701230","20140729","309000","3","1","1280","","1","","0","4","6","920","360","1959","","98058","1340"
"8035350320","20140718","488000","3","2.5","3160","","2","","0","3","8","3160","0","2003","","98019","3050"
"8945200830","20150325","210490","3","1","990","","1","","0","3","6","990","0","1966","","98023","1228"
"4178300310","20140716","785000","4","2.5","2290","","2","","0","4","9","2290","0","1981","","98007","2680"
"9215400105","20150428","450000","3","1.75","1250","","1","","0","4","7","1250","0","1953","","98115","970"
"822039084","20150311","1.35E+6","3","2.5","2753","","1","","2","5","9","2165","588","1953","","98070","2680"
"5245600105","20140916","228000","3","1","1190","","1","","0","3","7","1190","0","1955","","98148","1190"
"7231300125","20150217","345000","5","2.5","3150","","1","","0","4","8","1640","1510","1966","","98056","1990"
"7518505990","20141231","600000","3","1.75","1410","","1","","0","4","7","1000","410","1950","","98117","1410"
"3626039271","20150205","585000","2","1.75","1980","","1","","0","3","7","990","990","1981","","98117","1480"
"4217401195","20150303","920000","5","2.25","2730","","1.5","","0","3","8","2130","600","1927","","98105","2730"
"9822700295","20140512","885000","4","2.5","2830","","2","","0","3","9","2830","0","1995","","98105","1950"
"9478500640","20140819","292500","4","2.5","2250","","2","","0","3","7","2250","0","2008","","98042","2250"
"2799800710","20150407","301000","3","2.5","2420","","2","","0","3","8","2420","0","2003","","98042","2690"
"7922800400","20140827","951000","5","3.25","3250","","2","","4","4","8","3250","0","1968","","98008","2960"
"8079040320","20150223","430000","4","3","1850","","2","","0","3","8","1850","0","1991","","98059","2270"
"1516000055","20141210","650000","3","2.25","2150","","1","","3","4","8","1590","560","1959","","98166","2570"
